CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
901;RO 1;a≤300;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
902;RO 1;500<a≤2200;2,00;2,00;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
903;RO 2;a≤300;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
904;CSIIR 1 NO;a≤2000;2,00;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
905;CSIIR 1(1);a≤125;2,00;4,00;100;-;15,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
906;CSIIR 1;250<a≤800;2,00;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
907;CSIIR 1;1000<a≤4500;2,00;4,00;80;10;19,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
908;CSIIR 1;4500<a≤7500;2,00;2,50;70;20;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
909;CSIIR 1 - QNN 35, 37 a 40;900<a≤1100;2,00;3,00;80;10;29,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
910;CSIIR 2 NO;a≤750;2,00;4,00;100;-;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
911;CSIIR 2;a≤500;2,00;5,00;100;-;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
912;CSIIR 2;500<a≤2400;2,00;6,00;80;10;64,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
913;CSIIR 2;2400<a≤5500;2,00;3,00;70;20;54,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
914;CSIIR 2;17000<a≤50000;2,00;3,00;50;30;54,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
915;CSIIR 2 - Tipo A(2);600<a≤800;2,00;4,00;100;-;36,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
916;CSII 1;a≤125;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
917;CSII 2;a≤2500;2,00;4,00;100;-;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
918;CSII 2;2500<a≤5000;2,00;2,00;70;20;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
919;CSII 3;450<a≤2500;2,00;2,00;80;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
920;CSII 3;4000<a≤6500;2,00;2,00;70;20;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
921;CSII 3;9000<a≤80000;0,50;0,50;50;30;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
922;CSIIndR;a≤450;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
923;CSIInd 1;a≤650;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
924;CSIInd 1;650<a≤4500;2,00;2,00;80;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
925;CSIInd 2;a≤350;1,50;1,50;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
926;CSIInd 2;650<a≤1200;2,00;2,00;80;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
927;Inst;800<a≤3500;2,40;2,40;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
928;Inst;3500<a≤7500;2,00;2,00;70;20;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
929;Inst;15000<a≤75000;2,00;2,00;50;30;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
930;PAC 1(6);a≤1500;0,25;0,25;25;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
931;PAC 2(4);4500<a≤5000;0,50;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
932;PAC 2- Tipo A (7);1500≤a≤5000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
933;PAC 3(4);7000<a≤7500;2,00;2,00;60;-;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
