CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
2701;RE 2(1);35000<a≤45000;0,76;0,76;42;41;9,5;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2702;RE 2;190000<a≤265000;0,6;0,6;35;40;9,5;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2703;RE 3 - Mangueiral;60000<a≤120000;0,5;0,5;35;34;15,5;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2704;RO 1;300<a≤1600;1,5;1,5;60;10;9,5;3;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2705;RO 1;1600<a≤3000;1,5;1,5;70;20;9,5;3;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2706;RO 1 - Avenida do Sol;300<a≤1500;1;1;60;30;9,5;5;2;2;unilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2707;RO 1 - Chapéu de Pedra;400<a≤1000;1,2;1,2;60;30;9,5;3;1,5;1,5;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2708;RO 1 - Jardim Botânico II(2);300<a≤4000;1,5;1,5;80;15;9,5;3;-;1,5;unilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2709;RO 1 - Jardim Botânico IV;400<a≤3000;2;2;60;10;10,5;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2710;RO 1 - Morada de Deus / LH1(3);300<a≤1500;1,4;1,4;70;20;9,5;3;1,5;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2711;RO 1 - Morada de Deus / LH2(4);400<a≤2800;1,4;1,4;60;30;9,5;3;1,5;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2712;RO 1 - Morada de Deus / LH3(5);400<a≤2000;1,4;1,4;50;40;9,5;3;1,5;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2713;RO 1 - Ouro Vermelho(6) (7) (8);300<a≤2000;1;1;45;40;9,5;5;3;3;unilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
2714;RO 1 - Parque do Mirante;300<a≤2500;1;1;60;40;9,5;3;1,5;1,5;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2715;RO 1 - Querência;300<a≤700;0,8;0,8;50;40;9,5;3;5;1,5;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2716;RO 1 - Santa Mônica;650<a≤4000;1,2;1,2;60;40;9,5;3;3;2;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2717;RO 1 - São Bartolomeu;a≤2500;2;2;80;10;10,5;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2718;CSIIR 1 NO;600<a≤900;1;2;70;10;12;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
2719;CSIIR 1 NO;2000<a≤5000;1;1,5;70;20;12;3;-;1,5;unilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
2720;CSIIR 1;400<a≤3700;2;2;60;20;15,5;5;3;2;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2721;CSIIR 1 - Parque do Mirante;a≤1500;1;2,5;100;-;22,5;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
2722;CSIIR 2 NO;2000<a≤6000;1,4;1,4;60;30;12;3;1,5;1,5;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2723;CSIIR 2;a≤300;1;4;100;-;15,5;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2724;CSIIR 2;300<a≤1500;1;2;70;30;15,5;3;-;1,5;unilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
2725;CSIIR 2 - Jardim Botânico IV;300<a≤2000;1;4;80;10;15,5;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2726;CSIIR 3 (9);a≤200;2;3;100;-;12;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
2727;CSIIR 3(9);700<a≤2700;1,5;4;100;-;15,5;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
2728;CSIIR 3 - Santa Mônica(10);a≤250;1,2;1,2;60;40;12;-;-;-;-;-;obrigatória;ponto médio da testada frontal;permitido-tipo 2
2729;CSIIR 3 - Santa Mônica;250<a≤350;1,2;1,2;60;40;12;-;5;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
2730;CSII 1;a≤50;1,2;1,2;100;-;8,5;-;-;-;-;proibida;-;ponto médio da edificação;proibido
2731;CSII 1;300<a≤500;1,5;1,5;100;-;8,5;-;-;-;-;proibida;-;ponto médio da edificação;proibido
2732;CSII 1(11);700<a≤1100;3,6;3,6;100;-;15,5;-;-;-;-;proibida;obrigatória;ponto médio da edificação;permitido-tipo 1
2733;CSII 1 - Aldeias do Cerrado;a≤900;1,8;1,8;100;-;8,5;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2734;CSII 1 - Avenida do Sol(12);2000<a≤3000;2;2;80;10;8,5;5;3;-;-;-;obrigatória;ponto médio da testada frontal;permitido-tipo 1
2735;CSII 1 - Chapéu de Pedra(12);a≤200;2;2;100;-;8,5;-;-;-;-;-;obrigatória;ponto médio da testada frontal;permitido-tipo 1
2736;CSII 1 - Mangueiral(10) (13);500<a≤4000;1;1;75;-;15,5;-;-;-;-;proibida;obrigatória;ponto médio da edificação;permitido-tipo 2
2737;CSII 1 - Mangueiral(14);4000<a≤7000;1;1;70;25;15,5;4;4;4;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2738;CSII 1 - Ouro Vermelho;800<a≤6500;1;1;40;40;12;5;3;3;unilateral;-;-;ponto médio da edificação;permitido-tipo 1
2739;CSII 1 - Tororó Oeste;800<a≤1500;1;2,5;60;40;29,5;-;1,5;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2740;CSII 2;a≤50;1,2;1,2;100;-;8,5;-;-;-;-;proibida;-;ponto médio da edificação;proibido
2741;CSII 2;300<a≤500;1,5;1,5;100;-;8,5;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
2742;CSII 2 (11);700<a≤1100;3,6;3,6;100;-;15,5;-;-;-;-;proibida;obrigatória;ponto médio da edificação;permitido-tipo 1
2743;CSII 2;1200<a≤9500;1,2;1,2;60;20;12;3;3;3;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2744;CSII 2 - Aldeias do Cerrado(10) (15);a≤1500;2;2;100;-;8,5;-;-;-;-;-;obrigatória;ponto médio da testada frontal;permitido-tipo 1
2745;CSII 2 - Aldeias do Cerrado(16);1500<a≤3000;2;2;100;-;8,5;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2746;CSII 2 - Condomínios;a≤15000;1;2;70;15;15,5;-;-;1,5;unilateral;-;-;ponto médio da edificação;permitido-tipo 1
