CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1801;RE 1(14);500<a≤2000;1,40;1,40;70;10;9,50;3,00;-;3,00;unilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1802;RE 1 - SHTq Tr 1;450<a≤7000;0,80;0,80;40;50;9,50;5,00;-;1,50;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1803;RE 1 - SHTq Tr 1;8000<a≤20000;0,30;0,30;15;75;9,50;5,00;-;1,50;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1804;RE 1 - SHTq Tr 2;600<a≤3000;0,80;0,80;40;50;9,50;5,00;-;1,50;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1805;RE 2;4000<a≤8500;0,80;0,80;40;20;9,50;5,00;-;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1806;CSIIR 1 NO;1500<a≤4500;0,80;0,80;40;15;8,50;-;5,00;1,50;bilateral;proibida;-;ponto médio da edificação;proibido
1807;CSIIR 1 NO;12000<a≤14500;0,80;1,20;60;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1808;CSIIR 1(3);a≤150;1,65;1,65;100;-;8,50;-;-;-;-;proibida;obrigatória;ponto médio da testada frontal;permitido-tipo 1
1809;CSIIR 1 - SHTq Tr 1;700<a≤1000;0,80;0,80;40;15;8,50;-;5,00;1,50;bilateral;proibida;-;ponto médio da edificação;proibido
1810;CSIIR 2 NO(3);a≤150;1,65;1,65;100;-;8,50;-;-;-;-;proibida;obrigatória;ponto médio da testada frontal;permitido-tipo 1
1811;CSIIR 2 NO;1000<a≤8500;0,80;1,20;70;20;22,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1812;CSIIR 2(4);600<a≤1000;2,07;2,07;100;-;22,50;-;-;-;-;proibida;obrigatória;ponto médio da testada frontal;permitido-tipo 1
1813;CSIIR 2(4);1000<a≤1500;2,25;2,47;100;-;22,50;-;-;-;-;proibida;obrigatória;ponto médio da testada frontal;permitido-tipo 1
1814;CSIIR 2(4);1500<a≤2000;2,70;3,24;100;-;22,50;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1815;CSIIR 2(4);2000<a≤2600;3,74;4,33;100;-;22,50;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1816;CSII 1(5);500<a≤600;0,82;0,82;100;-;5,00;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1817;CSII 1(6);600<a≤1100;0,46;0,46;100;-;5,00;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1818;CSII 1;2000<a≤4000;1,45;1,45;100;-;8,50;-;-;-;-;-;-;cota altimétrica média do lote;permitido-tipo 1
1819;CSII 1;10000<a≤15000;0,80;0,80;40;50;8,50;10,00;10,00;3,00;bilateral;proibida;-;ponto médio da edificação;proibido
1820;CSII 2;500<a≤1400;0,80;1,50;75;15;15,50;-;2,00;2,00;bilateral;-;-;ponto médio da testada frontal;permitido-tipo 1
1821;CSII 2(7);4500<a≤8000;3,84;4,44;100;-;22,50;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1822;CSII 2;80000<a≤85000;0,50;1,00;50;15;12,00;10,00;10,00;10,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1823;CSII 2 - SHTq Tr 2;3000<a≤16000;1,00;1,00;50;50;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1824;CSII 3;1000<a≤10000;1,20;1,20;60;30;8,50;-;3,00;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1825;CSII 3 - SHTq Tr 2 Q 200 Cj 1(8);6000<a≤7000;1,20;1,20;60;40;-;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1826;CSII 3 - SHTq Tr 2 Q 200 Cj 2;6000<a≤7000;0,10;0,10;10;15;5,00;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1827;CSII 3 - SHTq Tr 2 Q 202 Cj 1 e 2;600<a≤800;0,80;0,80;40;50;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1828;CSII 3 - Polo Verde;9000<a≤11000;0,50;0,50;50;40;8,50;-;-;-;-;proibida;-;ponto médio da edificação;proibido
1829;CSII 3 - Capital Digital;3000<a≤15000;1,80;1,80;33;57;15,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1830;CSII 3 - Capital Digital;15000<a≤45000;2,00;2,00;65;35;15,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1831;Inst;3000<a≤15000;0,40;0,40;40;30;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1832;Inst;34000<a≤37000;1,00;1,00;70;20;15,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1833;Inst;75500<a≤78000;0,35;0,35;35;30;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1834;Inst - Tipo A(9);900<a≤15500;1,00;1,00;70;20;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1835;Inst - Tipo B(10);2000<a≤6000;0,60;0,60;70;20;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1836;Inst - SHTq Tr 1;6500<a≤9000;0,70;0,70;50;50;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1837;Inst - SHTq Tr 2;3500<a≤16000;1,00;1,00;50;30;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1838;Inst - SHTq Tr 2 Q 202 Cj 3;800<a≤1000;0,80;0,80;40;50;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1839;PAC 1(15);450<a≤2000;0,25;0,25;25;-;8,50;-;-;-;-;-;-;cota altimétrica média do lote;permitido-tipo 2
1840;PAC 2(12);4500<a≤5500;0,50;0,50;50;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1841;PAC 2 - Tipo A(16);1000≤a≤2000;0,25;0,50;50;-;8,50;-;-;-;-;-;-;cota altimétrica média do lote;permitido-tipo 2
1842;PAC 3(12);9500<a≤20500;0,60;0,60;60;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
