CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
801;RO 1;a≤200;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
802;RO 1 - Metropolitana;a≤1000;2,10;2,10;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
803;RO 2;a≤200;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
804;RO 2 - Metropolitana;a≤1000;2,10;2,10;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
805;CSIIR 1;a≤50;2,30;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
806;CSIIR 1;50<a≤150;2,30;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
807;CSIIR 2 NO;a≤200;2,40;2,40;100;-;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
808;CSIIR 2;a≤2000;2,30;3,20;100;-;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
809;CSII 2;500<a≤2500;1,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
810;CSII 2;2500<a≤3000;2,30;3,20;100;-;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
811;CSII 3;1000<a≤1500;1,00;2,00;100;-;8,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
812;CSII 3;3000<a≤4000;1,00;1,00;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
813;CSII 3;7000<a≤12500;0,60;1,00;50;30;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
814;CSII 3;35000<a≤160000;0,80;0,80;40;30;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
815;CSIIndR;a≤600;1,70;2,30;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
816;CSIIndR - Placa da Mercedes;a≤600;1,70;2,30;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;proibido
817;CSIInd 1;400<a≤1100;1,40;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
818;CSIInd 1 -  Placa da Mercedes;800<a≤2500;1,70;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;proibido
819;CSIInd 1 - Quadras 1 e 2;500<a≤2000;2,10;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
820;CSIInd 1 - Setor de Postos e Motéis Sul;2500<a≤3500;0,60;1,00;60;30;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
821;Inst;a≤6500;2,30;2,40;80;10;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
822;Inst;6500<a≤10000;0,60;0,60;30;40;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
823;Inst - Tipo A(1);6900<a≤23000;0,40;0,40;40;40;8,50;-;-;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
824;PAC 2(2);a≤3000;0,50;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
825;PAC 2 - Tipo A(4);1000≤a≤2000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
