CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
601;RE 3;300<a≤400;3,80;4,80;100;-;22,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
602;RRur(13);a≤34000;0,30;0,30;30;50;9,50;5,00;5,00;5,00;unilateral;-;-;ponto médio da edificação;proibido
603;RO 1;a≤250;1,40;1,40;100;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
604;RO 1;250<a≤700;1,40;1,40;80;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
605;RO 1 - Arapoanga(3);a≤800;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
606;RO 1 - Arapoanga(3);800<a≤2000;2,00;2,00;80;20;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
607;RO 1 - Mestre D'armas;a≤200;2,00;2,00;90;10;10,50;-;2,00;-;-;proibida;-;ponto médio da testada frontal;proibido
608;RO 1 - Mestre D'armas;200<a≤500;2,00;2,00;70;15;10,50;2,00;3,00;1,50;unilateral;proibida;-;ponto médio da testada frontal;proibido
609;RO 1 - Mestre D'armas;500<a≤3000;2,00;2,00;60;15;10,50;2,00;3,00;1,50;unilateral;proibida;-;ponto médio da testada frontal;proibido
610;RO 1 - Setor Tradicional;a≤500;1,40;1,40;90;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
611;RO 1 - Setor Tradicional;500<a≤4700;1,40;1,40;80;10;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
612;RO 1 - Setor Tradicional Q 57 Lts 2 e 3;200<a≤700;0,80;0,80;80;-;5,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
613;RO 2;a≤250;1,40;1,40;100;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
614;RO 2;250<a≤800;1,40;1,40;80;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
615;RO 2 - Arapoanga(3);a≤500;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
616;RO 2 - Arapoanga(3);500<a≤1500;2,00;2,00;90;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
