CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1501;RE 3 - Quadras 117 e 118;8000<a≤10500;1,00;1,00;80;10;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1502;RE 3 - Parque das Bençãos;10500<a≤26500;1,00;1,00;50;30;19,00;1,50;1,50;1,50;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
1503;RO 1;a≤300;1,80;1,80;100;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1504;RO 2;a≤300;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1505;CSIIR 1 NO;a≤300;1,80;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1506;CSIIR 1 NO;300<a≤1050;1,80;2,00;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1507;CSIIR 1;a≤600;1,80;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1508;CSIIR 1;600<a≤3000;1,80;2,00;80;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1509;CSIIR 2 NO;a≤350;1,80;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1510;CSIIR 2 NO - Centro - Subcentro(1);a≤350;1,80;2,00;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1511;CSIIR 2 NO;350<a≤1600;1,40;2,00;70;20;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1512;CSIIR 2(2);a≤592;1,80;2,30;100;-;12,00;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
1513;CSIIR 2(2);592<a≤5600;1,80;2,50;80;10;36,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 2
