CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1701;RE 3;a≤500;2,00;4,20;100;-;26,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1702;RE 3;1000<a≤3000;3,00;4,20;70;20;26,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1703;RO 1;a≤200;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1704;RO 2;a≤250;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1705;CSIIR 1 NO;a≤200;3,00;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1706;CSIIR 1 NO;800<a≤1000;2,00;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
1707;CSIIR 1 NO - CLN e CLS;150<a≤250;2,00;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
1708;CSIIR 1;9000<a≤10000;2,00;2,00;50;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1709;CSIIR 2 NO;a≤200;3,00;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1710;CSIIR 2(1);a≤300;3,00;3,00;100;-;15,50;-;-;-;-;obrigatória;-;ponto médio da edificação;permitido-tipo 1
1711;CSIIR 2;1500<a≤2500;3,00;4,20;100;-;26,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
1712;CSII 1;a≤50;1,00;1,00;100;-;5,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1713;CSII 1;2500<a≤3000;2,00;2,40;60;30;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
1714;CSII 2;500<a≤1500;2,00;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
1715;CSII 3;2500<a≤6000;2,00;2,40;60;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1716;CSIIndR;a≤250;1,40;2,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1717;CSIIndR;250<a≤1200;1,40;2,00;70;20;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1718;Inst;a≤1000;2,40;2,40;60;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1719;Inst;1000<a≤5000;2,00;2,40;60;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1720;PAC 2(2);1000<a≤1500;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
