CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
2501;RO 1;a≤1000;2,40;2,40;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
2502;RO 2;a≤1000;2,40;2,40;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
2503;CSIIR 1;a≤1000;1,80;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
2504;CSIIR 2 NO;a≤1000;1,80;2,40;80;10;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
2505;CSIIR 2;500<a≤1000;1,80;2,40;80;10;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2506;CSIIR 2;2500<a≤7000;1,80;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2507;CSIIndR;a≤350;2,10;2,40;80;10;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2508;CSIInd 1;400<a≤8000;1,80;2,10;70;20;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2509;CSIInd 2;2000<a≤35000;1,50;2,00;50;30;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
2510;Inst;1000<a≤2500;1,80;1,80;60;30;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
