CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1201;RE 2;1500<a≤3000;0,80;0,80;60;30;9,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1202;RE 3;300<a≤2500;2,00;3,50;80;10;43,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
1203;RE 3;4500<a≤9500;2,00;3,50;60;30;43,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
1204;RO 1;a≤450;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1205;RO 2;a≤550;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1206;CSIIR 1 NO;a≤250;2,00;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1207;CSIIR 1 NO;250<a≤800;2,00;3,00;80;10;33,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1208;CSIIR 1 NO;800<a≤4500;2,00;3,00;70;20;36,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1209;CSIIR 1;a≤500;2,00;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1210;CSIIR 1;800<a≤4000;2,00;2,00;70;20;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1211;CSIIR 2 NO;a≤250;2,00;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1212;CSIIR 2 NO;250<a≤550;2,00;3,00;80;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1213;CSIIR 2 NO;550<a≤800;2,00;3,00;70;20;36,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1214;CSIIR 2 NO;800<a≤3000;2,00;3,00;60;30;43,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1215;CSIIR 2 NO - Setor de Mansões Sudeste;1500<a≤3500;0,80;0,80;60;30;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1216;CSIIR 2(1);a≤250;2,00;3,50;100;-;15,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
1217;CSIIR 2(1);250<a≤550;2,00;3,50;100;-;19,00;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
1218;CSIIR 2(1);550<a≤800;2,00;4,00;80;10;29,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 2
1219;CSIIR 2(1);800<a≤3000;2,00;3,40;70;20;36,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 2
1220;CSIIR 2(1);3000<a≤21000;2,00;3,00;60;30;43,50;-;-;-;-;obrigatória;-;ponto médio da edificação;permitido-tipo 2
1221;CSIIR 2 - Centro Urbano;a≤700;2,00;3,00;100;-;22,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1222;CSIIR 2 - Centro Urbano;700<a≤5000;2,00;3,50;80;10;57,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1223;CSIIR 2 - Centro Urbano;5000<a≤8000;2,00;4,00;70;20;57,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
1224;CSIIR 2 - Centro Urbano;8000<a≤20500;2,00;4,50;60;30;57,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
1225;CSIIR 3(1);a≤250;2,00;2,80;100;-;15,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
1226;CSIIR 3(1);250<a≤550;2,00;4,00;100;-;22,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
1227;CSIIR 3(1);550<a≤800;2,00;4,00;80;10;29,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 2
1228;CSIIR 3;800<a≤4000;2,00;3,00;70;20;43,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1229;CSIIndR;a≤250;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1230;CSIIndR;750<a≤1000;2,00;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1231;CSIInd 1;a≤350;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1232;CSIInd 1;800<a≤3000;2,00;2,00;80;10;19,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1233;CSIInd 2;150<a≤300;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1234;CSIInd 2;300<a≤5000;2,00;2,00;70;20;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1235;CSIInd 2;16000<a≤17000;2,00;2,00;50;30;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
1236;Inst;16000<a≤17000;2,00;2,00;60;30;19,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
1237;PAC 1(5);a≤1000;0,25;0,25;25;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1238;PAC 2  - Tipo A (6);1000≤a<2000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1239;PAC 2(3);300<a≤2500;0,50;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
