CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1401;RE 3(8);18500a≤24500;1,50;1,50;75;15;15,50;3,00;3,00;3,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
1402;RO 1(3);a≤250;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1403;RO 1(3);250<a≤500;2,00;2,00;85;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1404;RO 1(3);500<a≤5000;2,00;2,00;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1405;RO 1 - Bonsucesso;a≤200;1,20;1,20;90;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
1406;RO 2;a≤200;2,30;2,30;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1407;RO 2;200<a≤500;2,30;2,30;85;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1408;RO 2;500<a≤2500;2,30;2,30;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1409;RO 3;a≤200;1,20;1,20;90;-;9,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
1410;CSIIR 1 NO;a≤260;2,50;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1411;CSIIR 1 NO;260<a≤800;2,50;3,00;85;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1412;CSIIR 1 NO;800<a≤5000;2,50;3,00;75;15;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1413;CSIIR 1 NO - Morro Azul;a≤250;1,70;2,00;100;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1414;CSIIR 1;a≤200;2,50;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1415;CSIIR 1;200<a≤550;2,50;3,00;85;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1416;CSIIR 1;550<a≤2500;2,50;3,00;75;15;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1417;CSIIR 2 NO;a≤250;2,50;3,00;75;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1418;CSIIR 2 NO;250<a≤1500;2,50;3,00;75;20;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1419;CSIIR 2 NO;3500<a≤4000;3,00;3,00;75;15;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1420;CSIIR 2;a≤270;2,75;3,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1421;CSIIR 2;270<a≤570;2,75;3,00;75;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1422;CSIIR 2;570<a≤3000;2,50;3,00;75;15;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1423;CSIIR 2 - Tipo A(4);a≤1500;1,00;3,00;75;20;15,50;-;4,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1424;CSIIR 2 - Bonsucesso;a≤1500;1,00;1,50;75;20;15,50;-;4,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1425;CSIIR 2 - Crixá(5);1000<a≤4500;1,00;3,00;85;10;15,50;-;3,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1426;CSIIR 2 - Rua do Parque(5);2500<a≤3500;1,00;1,50;80;15;15,50;-;3,00;2,50;bilateral;-;-;ponto médio da testada frontal;permitido-tipo 2
1427;CSII 1;600<a≤1500;1,80;1,80;65;20;12,00;3,00;3,00;2,00;bilateral;-;-;ponto médio da testada frontal;permitido-tipo 2
1428;CSII 2;100<a≤530;1,50;1,50;75;20;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1429;CSII 2;530<a≤6000;2,30;3,00;75;15;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1430;CSII 3(5);750<a≤3500;1,00;1,80;90;-;12,00;-;2,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1431;CSIIndR;a≤350;1,80;2,50;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
1432;CSIIndR;350<a≤3500;3,00;3,00;75;10;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1433;CSIInd 1;300<a≤6100;1,80;2,50;70;25;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
1434;Inst;a≤600;1,80;1,80;85;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1435;Inst;600<a≤18000;1,80;1,80;70;20;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
1436;PAC 2(6);1000<a≤4000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1437;PAC 2 – Tipo A(9);1000≤a<2000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
