CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
2601;RO 1;a≤300;2,30;2,30;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2602;RO 1;300<a≤700;2,30;2,30;80;-;10,50;3,00;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2603;RO 1 - Condomínios(1);a≤1600;2,00;2,00;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2604;RO 1 - Vivendas Lago Azul;700<a≤2500;1,00;1,00;50;40;9,50;3,00;3,00;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2605;RO 1 - Vivendas Friburgo/Mansões Colorado;200<a≤600;1,60;1,60;80;10;9,50;2,00;2,00;1,00;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2606;RO 1 - Vivendas Friburgo/Mansões Colorado;600<a≤2500;1,40;1,40;70;20;9,50;5,00;5,00;1,50;bilateral;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2607;RO 2;a≤350;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2608;CSIIR 1 NO;a≤1500;2,30;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2609;CSIIR 1;100<a≤300;1,00;1,80;90;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
2610;CSIIR 1 - Vivendas Lago Azul;a≤350;1,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2611;CSIIR 1 - Vivendas Rural Alvorada(1);a≤1100;0,30;0,30;60;30;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2612;CSIIR 2 NO;100<a≤1200;2,30;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2613;CSIIR 2 NO - COER;600<a≤1000;1,00;2,60;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2614;CSIIR 2 NO - COER;1000<a≤3500;1,00;2,60;70;20;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
2615;CSII 1;600<a≤900;2,10;2,10;70;20;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
2616;CSII 1;1000<a≤4000;0,30;0,30;60;30;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2617;CSII 1 - Morada dos Nobres;a≤800;1,00;4,00;80;10;19,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2618;CSII 2;600<a≤2000;2,10;2,10;70;20;12,00;-;-;-;-;-;-;cota altimétrica média do lote;permitido-tipo 2
2619;CSII 2;4500<a≤5000;1,80;1,80;60;20;12,00;5,00;5,00;5,00;bilateral;proibida;-;cota altimétrica média do lote;permitido-tipo 2
2620;CSII 3;300<a≤800;2,10;2,10;70;10;12,00;-;-;-;-;-;-;cota altimétrica média do lote;permitido-tipo 2
2621;CSII 3;1500<a≤3000;0,80;0,80;40;40;8,50;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2622;CSII 3;13000<a≤14000;1,00;1,00;50;20;8,50;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2623;Inst;300<a≤3100;2,10;2,10;70;20;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
2624;Inst;24000<a≤24500;0,25;0,50;25;60;8,50;10,00;10,00;10,00;bilateral;proibida;-;ponto médio da edificação;proibido
2625;Inst - AR 10 Cj 8 Lt 1, AR 13 Cj 15 Lts 1 e 2;2000<a≤5500;1,20;1,80;60;-;12,00;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
2626;Inst - AR 16, 18, 22 e 24;1200<a≤7400;0,80;0,80;40;40;8,50;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;proibido
2627;Inst - Condomínios;a≤1500;1,00;2,00;80;10;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2628;Inst - Vivendas Lago Azul(2);200<a≤2000;1,00;1,00;40;50;8,50;3,00;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
2629;Inst - Vivendas Friburgo;a≤200;1,00;1,00;100;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;proibido
2630;PAC 2(3);1000≤a<2000;0,25;0,50;25;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
2631;PAC 2 - Tipo A(3) (4);1000≤a<2000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
