CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
3201;RE 3;1500a≤2000;1,50;1,50;60;30;15,50;5,00;5,00;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 2
3202;RO 1;a≤300;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
3203;RO 1;300<a≤500;2,00;2,00;70;20;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
3204;RO 1;500<a≤3700;2,00;2,00;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
3205;RO 2;a≤200;2,00;2,00;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
3206;RO 2;200<a≤1000;2,00;2,00;70;20;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
3207;RO 3;a≤300;1,00;2,00;80;10;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
3208;CSIIR 1 NO;a≤550;2,00;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3209;CSIIR 1 NO;550<a≤2500;2,00;2,00;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
3210;CSIIR 1;a≤3500;2,00;2,00;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3211;Inst;a≤1000;1,40;1,40;70;20;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
3212;Inst;1000<a≤7500;1,20;1,20;60;30;12,00;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 2
3213;Inst;15000<a≤75000;2,00;2,00;50;30;15,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
3214;RRur;2500<a≤75001;0,30;0,30;30;50;9,50;10,00;5,00;5,00;-;-;-;ponto médio da edificação;proibido
