CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
1601;RE 1(17);500<a≤4000;1,40;1,40;70;10;9,50;3,00;-;3,00;unilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1602;RE 1 - SHIS QL 12 Cj 11 ao 18;1300<a≤2900;1,60;1,60;80;10;9,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1603;RE 2;5000<a≤16000;0,80;0,80;40;20;9,50;5,00;-;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1604;RE 2 - SMDB;11000<a≤25000;0,40;0,40;40;45;9,50;5,00;-;5,00;bilateral;proibida;-;ponto médio da edificação;permitido-tipo 1
1605;CSII 1(3);a≤150;1,00;2,00;100;-;8,50;-;-;-;-;obrigatória;-;cota altimétrica média do lote;permitido-tipo 1
1606;CSII 1(4);150<a≤750;3,00;3,00;100;-;12,00;-;-;-;-;obrigatória;-;cota altimétrica média do lote;permitido-tipo 1
1607;CSII 1;2500<a≤3500;2,00;2,00;100;-;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1608;CSII 1;3500<a≤15000;0,84;0,84;60;20;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1609;CSII 2(4);150<a≤600;3,00;3,00;100;-;12,00;-;-;-;-;obrigatória;-;cota altimétrica média do lote;permitido-tipo 1
1610;CSII 2;600<a≤32000;1,25;1,25;100;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1611;CSII 2 - Tipo A(5);850<a≤6000;0,84;0,84;60;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1612;CSII 2 - Tipo B(6);2000<a≤8500;0,84;3,00;100;-;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1613;CSII 2 - QI 5 Centro Comercial/Pj 1 e 2(7);2000<a≤5500;2,35;2,35;100;-;12,00;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1614;CSII 2 - QI 5 Centro Comercial/Pj 3(8);1500<a≤2000;3,00;3,00;100;-;15,50;-;-;-;-;proibida;obrigatória;cota altimétrica média do lote;permitido-tipo 1
1615;CSII 2 - QI 5 Centro Comercial/Lt 3;7500<a≤8000;1,49;2,00;100;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1616;CSII 2 - QI 28 Lt 1 e 2;5000<a≤9000;2,10;2,10;70;20;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1617;CSII 3;100000<a≤110000;0,70;0,70;50;30;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1618;Inst;650<a≤9500;0,70;0,70;70;20;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1619;Inst;10500<a≤70000;0,65;0,65;40;20;8,50;5,00;-;5,00;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1620;Inst;40000<a≤200000;0,20;0,20;10;70;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1621;Inst;200000<a≤300000;0,06;0,06;6;70;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1622;Inst - Tipo A(9);650<a≤9500;1,00;1,00;70;20;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1623;Inst - Tipo B(10);2500<a≤4000;2,25;2,25;80;-;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1624;Inst - Tipo C(11);2500<a≤11000;1,20;1,40;70;10;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 2
1625;Inst - Tipo D(12);200000<a≤350000;0,55;0,55;20;40;12,00;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
1626;PAC 1(18);250<a≤1800;0,17;0,25;25;-;8,50;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
1627;PAC 2(15);4500<a≤5000;0,50;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
1628;PAC 2 - Tipo A(19);1000≤a≤2000;0,17;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
